Date,Close,High,Low,Open,Volume
2022-01-04,72762.88281,73225.16288,72393.05876,72855.33883,12427416
2022-01-05,71560.9375,73040.23337,70636.37758,72855.32138,25470640
2022-01-06,71098.65625,71745.84818,70821.28828,70913.74427,12931954
2022-01-07,72393.07031,72485.52634,71560.96606,72208.15826,15163757
2022-01-10,72115.6875,72208.14351,71283.58341,72208.14351,9947422
2022-01-11,72947.78125,73040.23725,72115.67728,72485.50127,13221123
2022-01-12,72947.78125,73594.97323,72670.41326,73502.51723,11000502
2022-01-13,72023.22656,73317.61061,72023.22656,73317.61061,13889401
2022-01-14,71468.48438,72208.13234,71283.57238,71838.30836,10096725
2022-01-17,71653.39063,71930.75859,71098.6547,71745.84661,8785122
2022-01-18,71191.125,71930.77305,70821.30097,71745.86104,9592788
2022-01-19,70543.9375,71098.67357,70359.02548,70728.84952,10598290
2022-01-20,70728.83594,70913.74793,70174.09997,70451.46795,9708168
2022-01-21,69896.74219,70081.6542,69064.63811,70081.6542,15774888
2022-01-24,69434.45313,70081.6451,69064.62914,69711.82111,13691134
2022-01-25,68417.45313,69342.0133,67677.80498,69157.10127,17766704
2022-01-26,68417.45313,68417.45313,68417.45313,68417.45313,0
2022-01-27,65921.14063,68417.4531,65921.14063,68232.54107,22274777
2022-01-28,67770.26563,68140.08972,65828.68912,65921.14514,21367447
2022-02-03,67770.26563,69249.56201,67770.26563,69249.56201,17744721
2022-02-04,68417.45313,68972.18923,67862.71702,68694.82118,12730034
2022-02-07,67492.89844,68047.63459,66938.16229,67955.17856,14240838
2022-02-08,67492.89844,67492.89844,67492.89844,67492.89844,0
2022-02-09,67492.89844,67492.89844,67492.89844,67492.89844,0
2022-02-10,69711.82031,70081.64429,69064.62835,69896.7323,17746033
2022-02-11,69249.55469,69804.29077,68972.18664,69342.0107,12205407
2022-02-14,68140.07813,68879.72619,67585.34208,68787.27018,13993255
2022-02-15,68140.07813,68602.35817,67585.34208,68509.90216,9320365
2022-02-16,69157.10156,69249.55758,68602.36545,68972.18953,10767386
2022-02-17,69341.98438,69896.72025,68879.70448,69341.98438,13605382
2022-02-18,68694.8125,69157.09253,68140.07646,68972.18052,10122226
2022-02-21,68694.8125,68694.8125,68694.8125,68694.8125,0
2022-02-22,68694.8125,68694.8125,68694.8125,68694.8125,0
2022-02-23,68694.8125,68694.8125,68694.8125,68694.8125,0
2022-02-24,66106.05469,66845.70285,65921.14265,66845.70285,15759283
2022-02-25,66475.85938,67123.05133,66475.85938,66660.77136,13168484
2022-02-28,66475.85938,66475.85938,66475.85938,66475.85938,0
2022-03-02,66290.96094,66938.15302,66106.04891,66845.69701,12481430
2022-03-03,67400.42969,67585.3417,66753.23763,66845.69364,13232638
2022-03-04,67400.42969,67400.42969,67400.42969,67400.42969,0
2022-03-07,64811.66016,65273.94019,64626.74814,64719.20415,18617138
2022-03-08,64256.92969,64719.20976,63517.28158,63609.73759,15828269
2022-03-10,64256.92969,64256.92969,64256.92969,64256.92969,0
2022-03-11,64719.20703,65366.3991,64441.839,65181.48708,15787655
2022-03-14,64904.11328,64904.11328,64349.37727,64719.20128,9040993
2022-03-15,64904.11328,64904.11328,64904.11328,64904.11328,0
2022-03-16,65089.03516,65181.49117,64441.84305,64904.12312,10175750
2022-03-17,65089.03516,65089.03516,65089.03516,65089.03516,0
2022-03-18,65366.39063,65551.30262,64904.11063,65273.93463,14410038
2022-03-21,64626.73828,65643.75419,64626.73828,65551.2982,11169002
2022-03-22,64996.57422,65181.48624,64626.75018,64626.75018,9402666
2022-03-23,65181.47656,65828.66853,64996.56457,65273.93256,12398025
2022-03-24,64534.30078,64996.58087,64349.38874,64349.38874,37943357
2022-03-25,64534.30078,64904.12485,64349.38874,64811.66884,12986010
2022-03-28,64441.82813,64626.74011,63979.54815,64256.91614,12619289
2022-03-29,64904.11328,64996.56928,64534.28927,64719.20128,13686208
2022-03-30,64960.79688,65518.40028,64867.86297,65332.53248,12670187
2022-03-31,64682.01172,65239.61527,64682.01172,64960.81349,12510366
2022-04-01,64217.33594,64589.0716,64124.40202,64589.0716,15916846
2022-04-04,64403.21094,64403.21094,63752.67345,64031.47523,11107905
2022-04-05,64310.25781,64681.99341,64217.32391,64496.12561,8467248
2022-04-06,63659.73828,63938.54005,63659.73828,63752.67221,15517308
2022-04-07,63195.05859,63659.72814,63195.05859,63659.72814,20683327
2022-04-08,63009.1875,63473.85702,62916.2536,63287.98921,15453191
2022-04-11,63102.13281,63288.00066,62637.4632,63009.19889,12263735
2022-04-12,62265.71875,62916.25611,62265.71875,62823.3222,13924389
2022-04-13,63845.59766,64124.39939,62451.58897,62544.52289,17378619
2022-04-14,62730.39063,63845.59757,62730.39063,63845.59757,16409494
2022-04-15,61893.98828,62544.5257,61801.05436,62451.59178,13176415
2022-04-18,61986.91797,62358.65361,61429.31451,61801.05015,10119203
2022-04-19,62544.53125,63195.06872,62265.72948,62358.6634,12959434
2022-04-20,62637.45703,62637.45703,61801.05182,62265.72138,16693293
2022-04-21,62916.25391,63473.85734,62730.3861,62823.32,12847448
2022-04-22,62265.71875,62544.52048,61986.91702,62451.58657,11791478
2022-04-25,61615.1875,61986.92317,61615.1875,61801.05534,11016474
2022-04-26,61429.32031,61986.92383,61429.32031,61708.12207,12946923
2022-04-27,60407.04688,60871.71647,60314.11296,60778.78255,18122084
2022-04-28,60221.17578,60871.71317,59942.37404,60778.77926,16895527
2022-04-29,62637.45703,62823.32486,60407.04313,60499.97704,26190390
2022-05-02,62544.53125,62823.33302,61801.05985,61893.99378,14106184
2022-05-03,62730.39063,63566.79583,62544.5228,62637.45671,14168875
2022-05-04,63102.13281,63566.80242,62730.39713,63195.06673,11505248
2022-05-06,61801.05078,62358.65425,61801.05078,62265.72034,14356156
2022-05-10,61057.58984,61615.1934,60685.85414,61243.4577,17235605
2022-05-11,61057.58984,61615.1934,60592.92021,60871.72199,12330920
2022-05-12,60314.10156,60871.70497,60314.10156,60592.90326,16414188
2022-05-13,61801.05078,61986.9186,60592.90994,60685.84385,14551536
2022-05-16,61615.1875,62637.4606,61429.31966,62358.65884,11937555
2022-05-17,62823.32422,63102.12595,61893.9851,61893.9851,15680447
2022-05-18,63287.99609,63845.59958,62823.32652,63473.86392,16486319
2022-05-19,62730.39063,62823.32454,61801.0515,61801.0515,17073727
2022-05-20,63195.05859,63566.79423,62916.25686,63009.19077,12109671
2022-05-23,63102.13281,63938.53811,62823.33105,63938.53811,13684088
2022-05-24,61801.05078,62916.25771,61801.05078,62730.38989,15482576
2022-05-25,61708.11328,62358.65062,61243.44375,61986.915,15150490
2022-05-26,61243.44531,62451.58612,60871.70968,61615.18094,15970890
2022-05-27,61801.05078,62172.78643,61522.24905,61986.9186,11405555
2022-05-30,62916.25391,63009.18781,62172.78266,62730.3861,14255484
2022-05-31,62637.45703,62730.39094,61986.91964,62730.39094,24365002
2022-06-02,61986.91797,62265.7197,61708.11624,61893.98406,14959443
2022-06-03,62079.85156,62544.52111,62079.85156,62451.5872,8222883
2022-06-07,60871.70703,61708.11217,60778.77313,61522.24436,19355755
2022-06-08,60685.84766,61057.58332,60685.84766,60778.78157,12483180
2022-06-09,60592.91406,60592.91406,59942.37664,60499.98015,25790725
2022-06-10,59291.83594,59849.43941,59291.83594,59477.70376,22193552
2022-06-13,57711.95703,58362.49439,57711.95703,57990.75876,22157816
2022-06-14,57526.08594,57804.88765,56782.61471,56875.54862,24606419
2022-06-15,56410.88672,57154.35804,55946.21714,56968.49021,26811224
2022-06-16,56596.75,57433.15517,56225.01437,56968.48563,23394895
2022-06-17,55574.47266,55667.40656,55202.73705,55202.73705,29053450
2022-06-20,54552.20313,55667.41,53994.59969,55574.4761,34111306
2022-06-21,54366.33594,55016.87329,54087.53421,54552.20375,25148109
2022-06-22,53529.92969,54923.93827,53529.92969,54831.00437,23334687
2022-06-23,53344.0625,53901.66594,52786.45906,53622.86422,28338608
2022-06-24,54273.40625,54923.94365,53622.86885,53808.73668,23256103
2022-06-27,54645.14063,55667.41366,54180.47106,54831.00845,18122236
2022-06-28,55202.73828,55295.67218,54552.20096,55016.87048,13540538
2022-06-29,54231.25391,54979.2712,54231.25391,54698.76472,14677138
2022-06-30,53296.23828,53857.25132,53296.23828,53483.24263,18915142
